Speaker	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
01_ofa	cecca	u	monophthong	c	morsa	daha	zel	madrasa	garec	affricate	kem	ni	0	I	velar	kooperativ	aryana	azel	0	len	I	cuca	av	suffix	samet	drana	u	v	mettelta	kamaya	velar	baxta	n.a.	biyya	pacer	u	hec	lena	i	talu	ev	un	varda	al	affricate	av	I	e	0	n.a.	tane	hec	naviyya	0	0	eni	sare	le	xda	progressive	t	aya	yames	t	brunavate	axnan	e
02_gaa	brata	uy	monophthong	c	morsa	yemma	xes	uskol	garec	affricate	kam	ni	0	I	velar	duccana	mutra	ate	0	lena	II	cuca	o	suffix	samet	ida	a	v	mettelta	kamta	affricate	baxtay	ci	beta	pacer	uy	hec	len	a	n.a.	ev	ux	varda	al	affricate	av	II	e	n.a.	n.a.	n.a.	n.a.	nata	0	y	eni	sare	lun	xa	progressive	0	atya	mase	t	bnune	axnan	e
03_ada	brata	uy	monophthong	c	morsa	yemma	xes	uskol	garec	affricate	kam	0	n.a.	n.a.	velar	duccana	mutra	ate	0	lena	II	cuca	o	suffix	samet	ida	a	v	mettelta	kamta	affricate	baxtay	ci	beta	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	II	e	0	0	tane	hec	nata	0	y	eni	sare	lun	xa	progressive	0	atya	cames	s	bnune	axnan	e
04_zoa	brata	u	monophthong	c	kedamta	yemma	xes	madrasta	garec	affricate	kam	ni	cop	n.a.	velar	xamut	mutra	rayye	l	lena	II	alula	av	suffix	samet	drana	a	y	mettelta	kamta	velar	baxtate	ci	beta	pacer	u	hec	len	a	n.a.	ev	un	varda	al	velar	av	II	e	0	0	tane	cu	nata	0	y	eni	sare	lun	xa	progressive	0	atya	cimase	t	bnune	axnan	e
05_rst2	brata	uy	monophthong	c	morsa	mama	xes	madrasa	gar	affricate	kam	0	0	I	velar	magazin	mutra	ate	0	lena	II	cuca	o	analytic	samet	ida	a	v	mettelta	kamta	affricate	baxtay	ci	beta	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	I	e	0	0	tane	hec	nata	0	y	eni	sare	le	xa	progressive	0	atya	ames	t	bnune	axnan	e
06_gsa	cecca	u	monophthong	c	morsa	mama	zel	uskol	garec	affricate	kem	ni	cop	I	velar	kooperativ	aryana	rayye	0	len	II	n.a.	av	suffix	samet	ida	u	v	mettelta	kamaya	velar	baxta	n.a.	biyya	xazze	u	hec	lena	i	talu	ev	un	varda	al	affricate	av	I	e	0	ni	tane	hec	naviyya	0	0	eni	sare	le	xda	progressive	t	aya	yames	s	brunvate	axnan	e
07_ggo	brata	uy	monophthong	c	morsa	yemma	xes	madrasa	garet	palatal	kam	0	cop	I	affricate	magazin	mutra	ate	l	lena	II	cuca	o	suffix	samet	ida	a	v	n.a.	kamta	affricate	baxtay	ci	beta	gasek	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	I	e	0	0	n.a.	hec	nata	0	y	eni	sare	lun	xa	present	0	atya	cames	s	brunavate	axnax	e
08_lpj	brata	uy	monophthong	c	morsa	yemma	xes	madrasa	gar	affricate	kem	0	cop	I	velar	duccana	mutra	ate	0	lena	II	cuca	av	suffix	samet	ida	a	y	mettelta	kamta	affricate	baxtay	ci	beta	gasek	uy	hec	len	a	n.a.	ev	un	varda	al	affricate	av	n.a.	e	0	0	tane	hec	nata	0	y	eni	sare	lun	xa	progressive	0	atya	n.a.	s	brunavate	axnan	e
09_jsb	brata	uy	monophthong	c	morsa	yemma	xes	madrasa	gar	affricate	kam	0	cop	I	affricate	duccana	mutra	ate	0	lena	II	cuca	o	suffix	samet	drana	a	y	mettelta	kamta	affricate	baxtay	ci	beta	gasek	uy	hec	len	a	katu	ev	un	varda	al	palatal	u	II	u	0	0	tane	hec	nata	0	y	an	sare	lun	xa	progressive	0	atya	cames	s	bnune	axnax	e
10_lii	brata	u	monophthong	c	morsa	yemma	xes	uskol	garec	affricate	kam	ni	0	I	affricate	duccana	mutra	ate	0	lena	II	cuca	o	suffix	samet	ida	a	y	mettelta	kamta	affricate	baxtay	ci	beta	pacer	uy	hec	len	a	katu	ev	un	varda	al	affricate	u	n.a.	e	0	0	tane	hec	nata	0	y	eni	sare	le	xa	progressive	0	atya	cames	s	bnune	axnan	e
