speaker_no	speaker	yob	dialect	place	filename	annotator
1	ofa	1953	Mam_Arm	Verin_Dvin	01_ofa_SS_220314	SS
2	gaa	1951	Urm_Arm	Verin_Dvin	02_gaa_SS_220315	SS
3	ada	1959	Urm_Arm	Verin_Dvin	03_ada_SS_220315	SS
4	zoa	1953	Urm_Arm	Verin_Dvin	04_zoa_SS_220315	SS
5	rst2	1946	Urm_Arm	Verin_Dvin	05_rst2_SS_220315	SS
6	gsa	1957	Mam_Arm	Verin_Dvin	06_gsa_SS_220315	SS
7	ggo	1957	Urm_Geo	Urmiya	07_ggo_ES_220806	ES
8	lpj	1945	Urm_Geo	Urmiya	08_lpj_ES_220807	ES
9	jsb	1962	Urm_Geo	Urmiya	09_jsb_ES_220808	ES
10	lii	1973	Urm_Arm	Urmiya	10_lii_ES_220811	ES
11	oig2	1947	Urm_Arm	Urmiya	11_oig2_ES_220816	ES
12	rsj	1981	Urm_Arm	Urmiya	12_rsj_ES_220818	ES
13	vgb	1937	Nud	Urmiya	13_vgb_ES_220819	ES
14	gjo	1948	Shap	Urmiya	14_gjo_ES_220809	ES
15	vms	1938	Urm_old	Urmiya	15_vms_LZ_220807	LZ
16	ast	1962	Urm_Arm	Urmiya	16_ast_LZ_220808	LZ
17	nlt	1962	Urm_Arm	Urmiya	17_nlt_LZ_220809	LZ
18	kmt	1947	Urm_Arm	Urmiya	18_kmt_LZ_220808	LZ
19	vnm	1941	Urm_Arm	Urmiya	19_vnm_LZ_220813	LZ
20	lbt	1969	Urm_old	Urmiya	20_lbt_LZ_220814	LZ
21	mib	1973	Urm_Geo	Urmiya	21_mib_LZ_220815	LZ
22	agg	1953	Urm_Arm	Urmiya	22_agg_LZ_220816	LZ
23	tmj	1936	Nud	Urmiya	23_tmj_LZ_220819	LZ
24	lab	1967	Urm_Arm	Urmiya	24_lab_LZ_220819	LZ
25	aiz	1959	Nud	Urmiya	25_aiz_LZ_220819	LZ
26	bji	1960	Shap	Urmiya	26_bji_LZ_220819	LZ
27	ed	1964	Dzil	Urmiya	27_ed_LZ_220822	LZ
28	iju	1962	Urm_old	Urmiya	28_iju_LZ_220822	LZ
29	ena	1947	Shap	Urmiya	29_ena_LZ_220826	LZ
30	sj	1974	Diz	Urmiya	30_sj_AR_220822	LZ
31	sjm	1949	Shap	Urmiya	31_sjm_AR_2208_	LZ
32	vvi	1968	Urm_Arm	Urmiya	32_vvi_AR_220815	LZ
33	vst	1956	Urm_Arm	Urmiya	33_vst_ES_220825	LZ
34	fna	1955	Mam_Arm	Verin_Dvin	34_fna_SS_220813	SS
35	ioa	1978	Mam_Arm	Verin_Dvin	35_ioa_SS_220813	SS
36	evt	1963	Urm_Arm	Verin_Dvin	36_evt_SS_220813	SS
37	znm	1948	Mam_Arm	Verin_Dvin	37_znm_SS_220813	SS
38	agg2	1965	Mam_Arm	Verin_Dvin	38_agg2_SS_220813	SS
