Variable_no	Stimulus_no	Stimulus	Variable_type	Variable_subtype	Context	Values	Variable_comms
1	1	Девочка положила яблоко в карман.	lexical	suppletion	'girl': "brata", "cəcca"	[brata], [cecca]	Phonetic form of the lexeme chosen is irrelevant
2	1	Девочка положила яблоко в карман.	phonetic	diphthongization	'apple': "xabuyša", "xabuša"	[u], [uy]	The same variable is also registered in sentence #9 (but the results can be different)
3	1	Девочка положила яблоко в карман.	phonetic	diphthongization	'pocket': "ǧiba", "ǧayba"	[monophthong], [diphthong]	Typically, the actual contrast is between [i] and [ay], but realizations like [ey] count as [diphthong] on a par with [ay]. Realization of the consonant is irrelevant.
4	1	Девочка положила яблоко в карман.	lexical	alternation	'pocket': "ǧiba", "čiba"	[g], [c]	What is relevant is +/- voicing of the first consonant, not the vowel
5	2	Утром мама ушла в школу.	lexical	suppletion	'morning: "kedamta", "mor(i)ša"	[kedamta], [morsa]	Whether the actual realization is "morša" or "moriša" is irrelevant
6	2	Утром мама ушла в школу.	lexical	suppletion	'mother': "yəmma", "da(ha)", "mama"	[yemma], [daha], [mama]	Whether the actual realization is "da" or "daha" (etc.) is irrelevant
7	2	Утром мама ушла в школу.	morphological	irregular_verb_stems	'went': "xəš-", "zəl-"	[xes], [zel]	
8	2	Утром мама ушла в школу.	lexical	suppletion	'school': "madrašta", "madrasa", "uškol", "škola"	[uskol], [madrasta], [madrasa], [skola]	"uškol" is a Russian loanword; "madrašta" is a native word; "madrasa" is an Arabic/Persian loanword; the latter two variants are mainly differentiated based on whether there is a "t" sound
9	3	Завтра мальчик должен встать рано.	lexical	alternation	'must': "gar", "garəc", "garət", etc.	[garec], [garet], [gar]	What is relevant is the presence an nature of the third consonant (t vs. c vs. 0). It can be problematic to distinguish "t" vs. "c" (these values can be collapsed later). The actual realization of the first consonant etc. is irrelevant
10	3	Завтра мальчик должен встать рано.	phonetic	consonant	'must' (gar(ət/c)): the first consonant can be pronounced as a voiced [velar] stop like "g", as a voiced [palatal] stop like "ɟ" , or as a voiced (palatal, postalveolar or the like) affricate, more or less like d͡ʒ in IPA (cf. "jump"); basically the same variable is in example 3	[velar], [palatal], [affricate]	The same variable is in sentence #12. Whether there is a second syllable in 'must' is irrelevant.
11	3	Завтра мальчик должен встать рано.	morphological	regular_verb_stem	'to wake, rise', 3M present form: "kayəm", "kam", "kem"	[kayem], [kam], [kem]	Possible augment -ni is irrelevant.
12	3	Завтра мальчик должен встать рано.	morphological	person_conjugation	presence vs. absence of an augment: sth. like "kam" vs. "kamni"	[0], [ni]	The form of the stem as such is irrelevant. The same variable is in sentence #13.
13	4	Вон люди собираются у магазина.	syntactic	indexing	index doubling on the progressive form in constructions with far deictic copula, sth. like ven(a) +bəǧmayən(a) [cop], ven(a) +bəǧmaya [zero]	[cop], [0]	
14	4	Вон люди собираются у магазина.	morphological	pattern	'gather', progressive: +bəǧma(yə) [I], +ǧammu... [II]	[I], [II]	
15	4	Вон люди собираются у магазина.	phonetic	consonant	'at, near' "сəs": the first consonant can be pronounced as a voiceless [velar] stop like "k", as a voiceless [palatal] stop like "c", as a voiceless (palatal, postalveolar or the like) [affricate], more or less like t͡ʃ in IPA (cf. chair)	[velar], [palatal], [affricate]	The same variable is in sentence #8. The same word is also expected to be used in 16
16	4	Вон люди собираются у магазина.	lexical	suppletion	'shop': "kooperativ", "duccana/dəccana", "magazin", "xamut"	[kooperativ], [duccana], [xamut], [magazin]	
17	5	Идет дождь, и дети не играют на нашей улице.	lexical	suppletion	'rain': "+mu/ətra" vs. "+aryana"	[mutra], [aryana]	
18	5	Идет дождь, и дети не играют на нашей улице.	lexical	suppletion	the verb used with the subject 'rain': e.g. "bərrəxšəla" vs. "bitayəla" vs. "+bərayyəla"	[azel], [ate], [rayye]	What is relevant is the lexeme chosen: 'come' (atə; progressive "bita(yə)la" etc.), 'go' (azəl; progressive "bizaləla", "bərrəxšəla", "brəššəla" etc.) vs. specialized 'rain' (rayyə; progressive "+bərayyəla")
19	5	Идет дождь, и дети не играют на нашей улице.	lexical	simplification	'children': sth. like "yalə surə" (l-sound present) vs. sth. like "yasurə" (l-sound absent)	[0], [l]	There are many actual variants. The relevant feature is the prence of "l". However, we try to register specific realization as a comment
20	5	Идет дождь, и дети не играют на нашей улице.	morphological	person_conjugation	negative 3PL copula: "lena" vs. "len"	[lena], [len]	
21	5	Идет дождь, и дети не играют на нашей улице.	morphological	pattern	'play', progressive: "bəṭola" [I], "ṭavulə" [II]	[I], [II]	
22	5	Идет дождь, и дети не играют на нашей улице.	lexical	suppletion	'street': "+alula", "cúča"	[alula], [cuca]	The use of "gav +tarra" 'outside' is not precise (n.a.); try to elicit either "+alula" or "cúča" for street
23	6	Мой друг упал и сломал руку	phonetic	monophthongization	'my friend': "+xavri", "+xori"	[av], [o]	
24	6	Мой друг упал и сломал руку	syntactic	possessive constructions	my friend': suffixal (e.g. "+xavri") vs. analytic (e.g. "+xavra di(yi)")	[suffix], [analytic]	
25	6	Мой друг упал и сломал руку	lexical	suppletion	'break', pst: "šməṭ-lə", "tvər-rə"	[samet], [taver]	
26	6	Мой друг упал и сломал руку	lexical	suppletion	"ida" vs. "drana"	[ida], [drana]	Possessive suffixes are irrelevant (e.g. "idu")
